2022-09-10 22:09:862 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 22:09:226 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 22:09:235 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 22:09:874 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 22:09:225 INFO  StartPage :41 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (b5527622ba1b3edddc4b0c69ce5000bd)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-10 22:09:501 INFO  StartPage :45 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (b5527622ba1b3edddc4b0c69ce5000bd)] -> id: next-button]
2022-09-10 22:09:416 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 22:09:834 INFO  StartPage :41 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (a411c4fb5a339109258ed6a83bde0997)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-10 22:09:163 INFO  StartPage :45 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (a411c4fb5a339109258ed6a83bde0997)] -> id: next-button]
2022-09-10 23:09:223 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 23:09:433 INFO  StartPage :41 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (b78bfcccb5bc9a9fb783a56dc6d8e0c1)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-10 23:09:195 INFO  StartPage :45 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (b78bfcccb5bc9a9fb783a56dc6d8e0c1)] -> id: next-button]
2022-09-10 23:09:341 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 23:09:521 INFO  StartPage :41 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (2ee22ae0c16c819eef3755ea772d6bd3)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-10 23:09:536 INFO  StartPage :45 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (2ee22ae0c16c819eef3755ea772d6bd3)] -> id: next-button]
2022-09-10 23:09:988 INFO  ManageDriver :31 - Launching Chrome Browser
2022-09-10 23:09:73 INFO  StartPage :41 - Clicking on the 'AnalyticsCookies' button: [[ChromeDriver: chrome on WINDOWS (3b0c746e29dda894e113a65b72224b70)] -> id: nhsuk-cookie-banner__link_accept_analytics]
2022-09-10 23:09:876 INFO  StartPage :45 - Clicking on the 'startNow' button: [[ChromeDriver: chrome on WINDOWS (3b0c746e29dda894e113a65b72224b70)] -> id: next-button]
2022-09-10 23:09:898 INFO  ManageDriver :31 - Launching Chrome Browser
